Name,Release date,Download date,Description,Video URL,Views,Likes,Comments
"So yeah, what are you reading?",2025-12-16,2026-01-20,"So yeah, what are you reading?","https://www.tiktok.com/@y2cl.net/video/7584554813610921246",408,23,5
"Its here!! Its finally here!! #funny20 issue 1 is available! Its $2!!...",2024-01-06,2026-01-20,"Its here!! Its finally here!! #funny20 issue 1 is available! Its $2!!! Link in bio! #indiecomics #y2cl #fyp #comicbook #digitalcomics ","https://www.tiktok.com/@y2cl.net/video/7320776008364248362",67,11,1
"Man, these are fun to make but also very stupid. I hope you approciat...",2023-07-26,2026-01-20,"Man, these are fun to make but also very stupid. I hope you approciate them. Also buy the flippin book, this is the first one and by december there will be 10 issues, full 24 pages. #jonlynonly #y2cl #indycomic #humor #CapCut #sillygoose ","https://www.tiktok.com/@y2cl.net/video/7260185502895164714",310,14,7
"New episode of #y2clradio is out! Hear me talk all about being fat an...",2026-01-20,2026-01-20,"New episode of #y2clradio is out! Hear me talk all about being fat and my heart not being nice.  #podcast #y2cl #heartlroblems #takecareofyourself  ","https://www.tiktok.com/@y2cl.net/video/7597490219964730655",117,2,0
"Finished ready #belial.  Reccomend to you pick it up! Thanks to @Inst...",2023-08-07,2026-01-20,"Finished ready #belial.  Reccomend to you pick it up! Thanks to @InstInked Comics  for the fun read.  Aaannnddd for the forsr TikTok shop sale of #eynesanthology! #CapCut #instinkedcomics #indycomics #letsgo ","https://www.tiktok.com/@y2cl.net/video/7264713080716692779",436,14,5
"cover sketch of krampus from #eynesanthology",2020-06-25,2026-01-20,"cover sketch of krampus from #eynesanthology","https://www.tiktok.com/@y2cl.net/video/6842131352700128518",66,6,0
"Seriously, if you own a #comicshop reach out and lrts get #eynesantho...",2023-07-30,2026-01-20,"Seriously, if you own a #comicshop reach out and lrts get #eynesanthology i to your stote.  Everyone else use that button there to buy it here on my #tiktokshop. No, I didnt fart in the begening of the video. #horror #graphicnovel #comic #comicbook #y2cl ","https://www.tiktok.com/@y2cl.net/video/7261413749871971626",693,15,5
"Do finally we did a new episode of @SpoilerCountry for you all to her...",2023-08-01,2026-01-20,"Do finally we did a new episode of @SpoilerCountry for you all to here. Granted we talk mostly about #supernaturalbabydetective and #jonlynonly with a little but about #eynesanthology.  ","https://www.tiktok.com/@y2cl.net/video/7262165366271429931",293,14,2
"Follow @Kenric's Comics for all the infor! This book is gonna be good...",2023-08-25,2026-01-20,"Follow @Kenric's Comics for all the infor! This book is gonna be good! #indiecomic #horror #supernatural #supernaturalbabydetective #sbdcomic ","https://www.tiktok.com/@y2cl.net/video/7271064361957936427",243,10,1
"Should I finish it?",2024-12-13,2026-01-20,"Should I finish it?","https://www.tiktok.com/@y2cl.net/video/7447734769405660447",123,4,0
"cover sketch of jack Eynes from #eynesenthology",2020-06-25,2026-01-20,"cover sketch of jack Eynes from #eynesenthology","https://www.tiktok.com/@y2cl.net/video/6842128432080473349",566,88,1
